Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9528
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.0000
Water Temp (deg C),24.00
Room Temp (deg C),23.98
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,23.99
60.00,24.02
90.00,23.99
120.00,24.02
150.00,24.00
180.00,24.00
210.00,23.99
240.00,24.00
270.00,24.01
300.00,24.00
330.00,24.42
360.00,25.06
390.00,25.61
420.00,25.97
450.00,26.23
480.00,26.37
510.00,26.43
540.00,26.49
570.00,26.54
600.00,26.54
630.00,26.55
660.00,26.56
690.00,26.57
720.00,26.57
750.00,26.55
780.00,26.55
810.00,26.54
840.00,26.54
870.00,26.53
900.00,26.56
930.00,26.56
960.00,26.57
