Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9529
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),1.0000
Water Temp (deg C),24.00
Room Temp (deg C),23.31
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,23.99
60.00,23.99
90.00,24.01
120.00,24.01
150.00,23.98
180.00,23.98
210.00,24.01
240.00,24.00
270.00,24.02
300.00,24.02
330.00,24.21
360.00,24.55
390.00,24.77
420.00,24.95
450.00,25.03
480.00,25.08
510.00,25.12
540.00,25.13
570.00,25.16
600.00,25.16
630.00,25.17
660.00,25.17
690.00,25.16
720.00,25.15
750.00,25.16
780.00,25.16
810.00,25.15
840.00,25.13
870.00,25.14
900.00,25.15
930.00,25.14
960.00,25.12
