Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9528
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0000
Water Temp (deg C),24.00
Room Temp (deg C),22.63
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,23.99
60.00,23.98
90.00,24.00
120.00,24.01
150.00,23.99
180.00,23.97
210.00,23.99
240.00,24.00
270.00,23.98
300.00,23.98
330.00,24.61
360.00,25.63
390.00,26.43
420.00,26.96
450.00,27.31
480.00,27.55
510.00,27.69
540.00,27.74
570.00,27.80
600.00,27.84
630.00,27.83
660.00,27.85
690.00,27.85
720.00,27.83
750.00,27.84
780.00,27.82
810.00,27.84
840.00,27.84
870.00,27.81
900.00,27.83
930.00,27.80
960.00,27.83
