Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9528
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0000
Water Temp (deg C),24.00
Room Temp (deg C),22.19
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,23.98
60.00,23.99
90.00,24.01
120.00,23.99
150.00,23.99
180.00,24.00
210.00,23.98
240.00,24.00
270.00,23.97
300.00,23.98
330.00,24.22
360.00,24.60
390.00,24.93
420.00,25.16
450.00,25.29
480.00,25.36
510.00,25.43
540.00,25.45
570.00,25.47
600.00,25.48
630.00,25.47
660.00,25.45
690.00,25.48
720.00,25.46
750.00,25.46
780.00,25.47
810.00,25.44
840.00,25.46
870.00,25.46
900.00,25.47
930.00,25.45
960.00,25.46
